depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,11,6142,0.000000000017714755295789426,0.00000000010797594751041205,0.0000000002807136904083564,0.00000000013230218203684576,0,5,10612,301,1
5,0,0.0000001,11,3579,0.00000000001423006795449385,0.00000000011201642416229812,0.00000000028745762188723175,0.0000000001366980639326324,0,5,10698,301,1
5,0,0.00001,11,3609,0.0000000017922769129206282,0.000000003107643180692669,0.000000004185558735517109,0.0000000031711579582491954,0,5,10438,268,1
5,0,0.001,11,2137,0.000000019235259697029907,0.000000031574755225948296,0.00000004467103669342203,0.00000003255316652584842,0,5,11166,136,1
5,0,0.1,11,1693,0.00000008294386056432458,0.0000014085794214976009,0.000002966227685922181,0.0000016677656243149607,0,5,10802,50,1
