depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,2,0,9,5114,0.000000000003367710222734564,0.00000000006176731441855394,0.00000000022910676439890916,0.00000000008301973814025358,0,20,12339,301,1
5,2,0.0000001,9,2703,0.0000000000006517432254604126,0.00000000005947092132987289,0.00000000021942907752624348,0.00000000008105960723610262,0,20,12205,301,1
5,2,0.00001,9,2433,0.0000000020413944353419984,0.0000000032315589479394497,0.000000004129421563134664,0.0000000032730592809486988,0,20,11811,259,1
5,2,0.001,9,1456,0.000000012560429769817755,0.000000021173660192859015,0.00000002985801349942243,0.000000021615085849884543,0,20,11314,130,1
5,2,0.1,9,978,0.00000005655479795834808,0.0000019072561737252564,0.000003824076968828122,0.0000022612768465335722,0,20,11862,50,1
