depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,8,2725,0.0000000026063814638131865,0.000000007537481588638068,0.000000012238908004833092,0.000000007934834758656735,0,20,5387,193,1
5,1,0.0000001,8,1757,0.000000002600289276689515,0.000000007528802080221558,0.000000012223884629951097,0.000000007926103723323731,0,20,5430,193,1
5,1,0.00001,8,1659,0.000000000312097546684399,0.000000004312388593070669,0.000000007886221027801163,0.00000000483728790103773,0,20,5438,193,1
5,1,0.001,8,1190,0.000000003745706772960452,0.000000015906648920463224,0.000000022359444296614032,0.00000001674278660473576,0,20,5176,125,1
5,1,0.1,8,722,0.000000031371172314697905,0.000004751834857534268,0.000009750948908424008,0.00000550348904066175,0,20,5188,48,1
