depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,0,0,10,1662,0.000000000023146942284607055,0.0000000007328881232805002,0.0000000017112364208572434,0.0000000007918559781975208,0,5,5687,244,1
4,0,0.0000001,10,1469,0.000000000019251658152170758,0.0000000007317506131507065,0.0000000017094069085265848,0.0000000007909179356481119,0,5,5607,244,1
4,0,0.00001,10,1450,0.000000000007822610506189796,0.0000000009823207727564374,0.000000005571085955427502,0.0000000013746709581953902,0,5,5629,244,1
4,0,0.001,10,1388,0.0000000001277329242531626,0.0000000164407160588001,0.000000053110562308971504,0.000000020300749884641273,0,5,5126,130,1
4,0,0.1,10,1356,0.00000003617014132307663,0.000002956469197325761,0.0000045045900865310014,0.0000031017889863241965,0,5,5077,50,1
