depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,2,0,7,1457,0.00000000004349621255918464,0.000000002733172566928626,0.000000013837795550953168,0.0000000033547978386555126,0,10,3482,193,1
4,2,0.0000001,7,1330,0.000000000051777470119790326,0.000000002736180982610981,0.000000013839867536439188,0.0000000033570308348938835,0,10,3492,193,1
4,2,0.00001,7,1333,0.000000000015467799226961838,0.0000000022661577300052125,0.000000012958576808584535,0.0000000029368833300257493,0,10,3505,193,1
4,2,0.001,7,1322,0.00000009101941637920849,0.0000002931379343637833,0.0000005960082046023871,0.0000003084133732484118,0,10,3328,124,1
4,2,0.1,7,1250,0.0000003002237512106953,0.000005644246267708346,0.000012989504170961802,0.000006007695641086339,0,10,3232,43,1
