depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,2,0,9,5210,0.000000000006491455198720684,0.00000000009505371571887445,0.00000000025302496538507714,0.00000000012226624375681302,0,5,11680,301,1
5,2,0.0000001,9,2811,0.0000000000000040614842277499525,0.00000000009769874710833674,0.0000000002554913801672237,0.0000000001249021682721826,0,5,11734,301,1
5,2,0.00001,9,2560,0.0000000021109148346707476,0.000000003336570025531713,0.000000004333639856674929,0.000000003382021384916272,0,5,11259,259,1
5,2,0.001,9,1456,0.00000001263975474319967,0.00000002126346308281867,0.000000029885801087976865,0.000000021707776054313923,0,5,10819,130,1
5,2,0.1,9,996,0.00000005649998873964087,0.0000019072498304987923,0.000003824086020013204,0.0000022612722663229337,0,5,11479,50,1
