depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,8,1904,0.0000000003040830006059633,0.000000004690257305243963,0.000000018245414920132802,0.0000000066014545644134096,0,20,2871,148,1
5,0,0.0000001,8,1420,0.00000000030907632386822233,0.000000004689632826467438,0.000000018253725657323998,0.0000000066026226174126524,0,20,2893,148,1
5,0,0.00001,8,1315,0.000000000017838947212627626,0.000000005944551556522961,0.000000021461884372133794,0.00000000808168982866407,0,20,2890,148,1
5,0,0.001,8,1116,0.000000403697480260712,0.0000005334399944770466,0.0000006323784132411915,0.000000535590527615071,0,20,2847,124,1
5,0,0.1,8,674,0.0000001397629202830791,0.000004090169820288717,0.000011333146163211173,0.000005001387798932884,0,20,2749,43,1
