depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,11,7451,0.0000000000019283282579681657,0.000000000015870472994560687,0.000000000030340788090511374,0.000000000016897213674582137,0,5,22647,364,1
5,1,0.0000001,11,4358,0.000000000012869316913353642,0.000000000024870046470197947,0.00000000004183511534736436,0.00000000002556036440083886,0,5,22565,364,1
5,1,0.00001,11,3654,0.0000000017414860438339895,0.00000000289446138106745,0.000000003854732547953398,0.000000002941368457758258,0,5,22826,271,1
5,1,0.001,11,2280,0.00000007462118788869645,0.00000008232808310679863,0.00000008596861644954272,0.00000008237635030417187,0,5,22981,136,1
5,1,0.1,11,1758,0.0000006871995576286121,0.000003057717329024712,0.0000047709407396281164,0.0000033158344894617483,0,5,22794,53,1
