depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,11,20308,0.000000000002994007876212484,0.000000000011022145709179621,0.000000000024876287359280084,0.000000000011816542793102216,0,20,25906,364,1
5,1,0.0000001,11,16757,0.000000000009635942991706795,0.000000000019158352715496674,0.00000000003760870733577537,0.000000000019970065120052715,0,20,28145,364,1
5,1,0.00001,11,15524,0.000000001488212246637661,0.0000000027315502785900067,0.000000004407164171722189,0.000000002789319858385165,0,20,26583,271,1
5,1,0.001,11,14509,0.00000007402787054545842,0.00000008320368028644653,0.00000008796156118973308,0.00000008323551938278842,0,20,26289,136,1
5,1,0.1,11,13535,0.000000016249892107528188,0.0000029776307301533604,0.000004786686306903191,0.000003218885973555232,0,20,25584,53,1
