depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,9,15234,0.000000000005170278175875506,0.0000000003738758756981853,0.0000000011502477097236888,0.00000000043153497291505626,0,5,11231,244,1
5,1,0.0000001,9,13453,0.000000000011105275586146776,0.00000000037157551535698044,0.0000000011585994545782912,0.0000000004294601095841094,0,5,11141,244,1
5,1,0.00001,9,13445,0.0000000013543632839986022,0.0000000034471795041068305,0.000000006968888180352427,0.000000003614231783849437,0,5,11759,243,1
5,1,0.001,9,12776,0.000000011158495828969078,0.00000002776164591248558,0.00000003887062858616955,0.000000028152988609393136,0,5,11777,130,1
5,1,0.1,9,11522,0.000000016878828994455852,0.0000022491652319261934,0.000003884242924335371,0.0000025225189088208215,0,5,11671,50,1
