depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
6,2,0,7,37963,0.0000000023606659683752518,0.000000005455958369526363,0.000000011309784519736305,0.000000006398658216708464,0,5,15525,193,1
6,2,0.0000001,7,25091,0.0000000023719452693492054,0.000000005469093026361234,0.000000011327380727359283,0.000000006411142215895706,0,5,16298,193,1
6,2,0.00001,7,24299,0.0000000056130216924010795,0.000000009001646180555502,0.00000001545232711247987,0.00000000972181020179444,0,5,16343,193,1
6,2,0.001,7,16283,0.0000005575976476802613,0.0000005895420058037377,0.0000006481230224133668,0.0000005902600304589886,0,5,15828,124,1
6,2,0.1,7,10118,0.000009343227287483036,0.00001356587919839745,0.000021411778175217768,0.000014334663128060625,0,5,16436,43,1
