depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
6,0,0,3,3496,0.000054029923952024794,0.00022807873853404416,0.00032476197849708784,0.00025395533966990976,0,10,10659,13,1
6,0,0.0000001,3,3586,0.000054029923952024794,0.00022807873853419522,0.00032476197849723855,0.0002539553396700738,0,10,10512,13,1
6,0,0.00001,3,3455,0.00005402916117434036,0.00022807803601219097,0.00032476130159669566,0.0002539547201722918,0,10,10680,13,1
6,0,0.001,3,3263,0.0000539287420666999,0.00022797566064531764,0.0003246564457419271,0.0002538618095914464,0,10,11489,13,1
6,0,0.1,3,3089,0.0012885803865335954,0.0014193401505260192,0.0014933205933960996,0.0014205787867439064,0,10,11807,13,1
