depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,4,10025,0.000000013584695956060127,0.000019123596788478844,0.00006527335977283614,0.000024174588256884833,0,5,4102,49,1
5,1,0.0000001,4,10010,0.000000013533289551547367,0.00001912360296927064,0.00006527340737024439,0.000024174594043228863,0,5,4015,49,1
5,1,0.00001,4,9949,0.00000001516454026844421,0.000019124612060501814,0.00006528234121805356,0.000024176349638163877,0,5,4010,49,1
5,1,0.001,4,10011,0.00000000943976111453952,0.00001895612346737988,0.00006431460825967312,0.000023815865190413936,0,5,4040,49,1
5,1,0.1,4,9878,0.00005078960344879557,0.00014532471855960486,0.00017632616143167497,0.00014638449690992247,0,5,4759,30,1
