depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,4,9946,0.000004635200975677945,0.00005521543660126191,0.0001269266477421791,0.00005800324662753191,0,10,4008,28,1
5,0,0.0000001,4,9905,0.00000463518567231264,0.000055215432158611786,0.0001269266189621964,0.00005800324215961497,0,10,3989,28,1
5,0,0.00001,4,9885,0.000004648138261248255,0.000055230049232956977,0.00012694370325411338,0.00005801753050417238,0,10,3978,28,1
5,0,0.001,4,9894,0.000003927374935987972,0.000054641530171685356,0.00012636225235627762,0.000057473205122686005,0,10,3990,28,1
5,0,0.1,4,9829,0.00013834155207410323,0.0002493971827221713,0.0002904588327925898,0.0002499852118773792,0,10,4633,26,1
