depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
6,1,0,4,7461,0.000026759317675183176,0.00004970027419463935,0.00006471598962110705,0.00005139101063390553,0,10,10752,49,1
6,1,0.0000001,4,6994,0.000026759276331706373,0.0000497002430638405,0.0000647159802411143,0.00005139098295911028,0,10,11047,49,1
6,1,0.00001,4,6477,0.000026763264206276954,0.00004970573682047623,0.00006472241824297418,0.00005139632445374066,0,10,11451,49,1
6,1,0.001,4,6345,0.00002568419920388289,0.00004865347984403201,0.0000636760909057743,0.00005038048801362413,0,10,12180,49,1
6,1,0.1,4,4631,0.0001244659689426137,0.00014930690635608977,0.00016435010964123057,0.00014986391090182413,0,10,12086,30,1
