depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,11,20222,0.0000000000005515070092096617,0.00000000001606361435696503,0.00000000003215541392060362,0.00000000001691145911557443,0,5,25401,364,1
5,1,0.0000001,11,16573,0.000000000009259338463166875,0.000000000024083884053607962,0.000000000040360729468553,0.000000000024575087610360526,0,5,28246,364,1
5,1,0.00001,11,15692,0.0000000014968081365693696,0.0000000027404607245463077,0.000000004412029439068654,0.0000000027977572639898662,0,5,25993,271,1
5,1,0.001,11,14200,0.00000007403243088262627,0.00000008319854170355108,0.00000008795459675054627,0.00000008323033935068261,0,5,25283,136,1
5,1,0.1,11,13618,0.000000016245392216377286,0.0000029776273210902327,0.000004786681251540175,0.000003218882806353479,0,5,25661,53,1
