depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,10,17559,0.0000000000006304711071382324,0.00000000011487438353923908,0.00000000030293916047499805,0.00000000013420515444446899,0,5,16097,301,1
5,1,0.0000001,10,15188,0.0000000000002675449020573537,0.00000000012042373126888772,0.0000000003086276409144943,0.00000000013984078598372706,0,5,16141,301,1
5,1,0.00001,10,14947,0.0000000020937273575272732,0.00000000387405183998343,0.000000006363025438191203,0.00000000396242799295502,0,5,17218,267,1
5,1,0.001,10,13039,0.000000003889636209861568,0.00000001764953357975058,0.000000029347720075238832,0.00000001816876606829884,0,5,16375,130,1
5,1,0.1,10,12078,0.00000001052514454203805,0.0000014024665631121839,0.000004330832103097693,0.000001621447276906386,0,5,16335,50,1
