depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,9,14070,0.000000000972923120809369,0.000000004815526704021282,0.000000007873123451471565,0.000000004955166044330182,0,5,7221,193,1
5,0,0.0000001,9,13606,0.0000000009654570088970814,0.000000004809290676959911,0.00000000786714241276691,0.000000004949127675501093,0,5,7066,193,1
5,0,0.00001,9,12980,0.000000000006494595430432146,0.0000000014978168026313946,0.000000004296125419687853,0.000000001780705057469324,0,5,7624,193,1
5,0,0.001,9,12209,0.00000000007238863765831721,0.000000006085434293555981,0.000000017701841777881976,0.000000007096789245483749,0,5,8088,127,1
5,0,0.1,9,11500,0.0000002228155150785714,0.0000024961779170052403,0.000004070186822084817,0.000002736905490066935,0,5,7955,49,1
