depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,11,16,4888,0.000000000000020208300661523517,0.0000000000030285585399522223,0.000000000014157062229141536,3692
4,11,32,4709,0.000000000000020208300661523517,0.0000000000030285585399522223,0.000000000014157062229141536,3547
4,11,64,4579,0.000000000000020208300661523517,0.0000000000030285585399522223,0.000000000014157062229141536,3598
4,11,128,4394,0.000000000000020208300661523517,0.0000000000030285585399522223,0.000000000014157062229141536,3363
5,11,16,3838,0.000000000003782658418476383,0.000000000009424680966987643,0.000000000014071578602455258,4361
5,11,32,3287,0.000000000003782658418476383,0.000000000009424680966987643,0.000000000014071578602455258,4903
5,11,64,2771,0.000000000003782658418476383,0.000000000009424680966987643,0.000000000014071578602455258,5091
5,11,128,2889,0.000000000003782658418476383,0.000000000009424680966987643,0.000000000014071578602455258,4766
