depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,9,16,4341,0.000000000002116170816846015,0.0000000002653458264899904,0.0000000006286570575349793,2356
4,9,32,4446,0.000000000002116170816846015,0.0000000002653458264899904,0.0000000006286570575349793,2306
4,9,64,4319,0.000000000002116170816846015,0.0000000002653458264899904,0.0000000006286570575349793,2125
4,9,128,4171,0.000000000002116170816846015,0.0000000002653458264899904,0.0000000006286570575349793,2064
4,10,16,4808,0.0000000000029453732214237862,0.0000000000510375323890719,0.0000000001252512623606183,2409
4,10,32,4711,0.0000000000029453732214237862,0.0000000000510375323890719,0.0000000001252512623606183,2415
4,10,64,4438,0.0000000000029453732214237862,0.0000000000510375323890719,0.0000000001252512623606183,2411
4,10,128,4276,0.0000000000029453732214237862,0.0000000000510375323890719,0.0000000001252512623606183,2393
5,9,16,2268,0.0000000002614571796808777,0.000000000791613356634381,0.0000000010893146566642837,2596
5,9,32,2244,0.0000000002614571796808777,0.000000000791613356634381,0.0000000010893146566642837,2646
5,9,64,1968,0.0000000002614571796808777,0.000000000791613356634381,0.0000000010893146566642837,3395
5,9,128,2040,0.0000000002614571796808777,0.000000000791613356634381,0.0000000010893146566642837,2791
5,10,16,2551,0.00000000013959645856893922,0.00000000016430894461339618,0.00000000020529739588525185,3385
5,10,32,2245,0.00000000013959645856893922,0.00000000016430894461339618,0.00000000020529739588525185,3274
5,10,64,2232,0.00000000013959645856893922,0.00000000016430894461339618,0.00000000020529739588525185,3283
5,10,128,2514,0.00000000013959645856893922,0.00000000016430894461339618,0.00000000020529739588525185,3306
