
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 24, 973, 14, 0, 1, 646, 262, 2422, 2388, 6, 3, 0, 31, 73, 2, 2, 374, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 26, 1354, 14, 0, 1, 905, 394, 2422, 2388, 6, 3, 0, 21, 85, 0, 2, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 31, 1417, 20, 1, 1, 915, 387, 2422, 2388, 6, 3, 1, 64, 26, 0, 10, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_1", 25, 327, 3, 0, 0, 157, 63, 2391, 2398, 5, 3, 1, 78, 18, 0, 17, 370, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 3, 327, 7, 0, 0, 160, 66, 2391, 2397, 4, 3, 1, 71, 23, 0, 14, 374, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 10, 330, 7, 0, 0, 162, 66, 2391, 2398, 4, 3, 1, 72, 22, 4, 10, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 28, 327, 7, 0, 0, 163, 68, 2391, 2398, 6, 3, 1, 69, 26, 6, 7, 373, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 21, 331, 7, 0, 0, 163, 69, 2391, 2397, 5, 3, 1, 71, 24, 0, 14, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 7, 335, 7, 0, 0, 164, 74, 2391, 2397, 5, 3, 1, 68, 27, 0, 15, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 0, 553, 7, 0, 0, 326, 124, 2391, 2397, 7, 3, 1, 71, 21, 15, 0, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 6, 509, 7, 0, 0, 322, 128, 2391, 2398, 4, 3, 1, 33, 67, 0, 8, 374, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 22, 508, 7, 0, 0, 325, 129, 2391, 2397, 4, 3, 1, 31, 71, 0, 7, 373, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 5, 517, 7, 0, 0, 326, 129, 2391, 2397, 4, 3, 1, 36, 64, 0, 9, 373, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 1, 517, 3, 0, 0, 327, 129, 2391, 2398, 5, 3, 1, 40, 64, 0, 9, 373, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 19, 516, 7, 0, 0, 324, 130, 2391, 2398, 5, 3, 1, 35, 65, 0, 8, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 30, 513, 3, 0, 0, 328, 128, 2391, 2398, 5, 3, 1, 37, 68, 0, 7, 373, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 16, 552, 8, 0, 0, 331, 126, 2391, 2397, 7, 3, 1, 65, 30, 11, 1, 374, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 13, 555, 7, 0, 0, 330, 127, 2391, 2397, 5, 3, 1, 67, 29, 0, 13, 371, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 2, 517, 7, 0, 1, 330, 129, 2391, 2397, 4, 3, 1, 32, 67, 0, 9, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 29, 556, 12, 1, 0, 326, 134, 2391, 2397, 4, 3, 1, 62, 29, 0, 11, 373, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 8, 554, 8, 0, 0, 329, 132, 2391, 2397, 5, 3, 1, 63, 33, 3, 7, 371, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 24, 555, 7, 0, 0, 328, 134, 2391, 2397, 4, 3, 1, 65, 32, 4, 6, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
"0_0_0_1", 17, 553, 7, 0, 0, 332, 131, 2391, 2398, 4, 3, 1, 63, 35, 0, 9, 372, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 4, 5000,
         
