
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 30, 690, 7, 0, 1, 469, 196, 2354, 2373, 4, 3, 0, 17, 3, 79, 0, 2, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 18, 690, 7, 0, 1, 470, 194, 2354, 2373, 4, 3, 0, 15, 4, 81, 0, 1, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 22, 694, 7, 0, 1, 472, 197, 2355, 2373, 5, 3, 0, 21, 4, 74, 0, 1, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"1_0_0_0", 3, 1583, 24, 3, 8, 1344, 70, 2561, 2542, 4, 3, 0, 113, 111, 32, 0, 14, 376, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 7, 1591, 55, 7, 7, 1352, 71, 2561, 2542, 5, 3, 0, 113, 75, 31, 0, 14, 376, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 20, 1608, 51, 6, 3, 1369, 70, 2561, 2542, 5, 3, 0, 110, 81, 29, 0, 16, 373, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 5, 2952, 49, 6, 9, 2666, 138, 2561, 2542, 4, 3, 1, 123, 61, 38, 0, 12, 370, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 6, 2969, 50, 6, 8, 2684, 138, 2561, 2542, 5, 3, 1, 124, 61, 37, 0, 12, 372, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 29, 2964, 48, 6, 8, 2686, 139, 2561, 2542, 5, 3, 0, 125, 54, 45, 0, 12, 376, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 23, 2979, 50, 6, 10, 2691, 139, 2561, 2542, 5, 3, 1, 124, 57, 38, 0, 14, 374, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 0, 2986, 50, 6, 17, 2690, 134, 2561, 2542, 4, 3, 0, 126, 64, 30, 13, 0, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
"1_0_0_0", 28, 2974, 48, 6, 8, 2697, 140, 2561, 2542, 4, 3, 1, 130, 51, 43, 0, 11, 371, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
