
rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
5, 0, 0, 0, 0, 0, 0, 12072, 12048, 15, 14, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
0, 541, 16, 3, 0, 0, 0, 12073, 12048, 15, 14, 0, 434, 42, 86, 0, 374, 1, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
6, 2414, 33, 6, 5, 1635, 261, 12073, 12047, 16, 14, 0, 397, 74, 56, 6, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
2, 2073, 14, 3, 7, 1637, 260, 12073, 12047, 16, 14, 0, 117, 421, 0, 22, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
1, 2086, 14, 2, 7, 1635, 262, 12073, 12047, 15, 14, 0, 127, 409, 0, 23, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
3, 2080, 15, 2, 7, 1641, 261, 12073, 12048, 15, 15, 0, 117, 419, 0, 23, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
4, 3942, 15, 3, 12, 3272, 521, 12073, 12048, 15, 14, 0, 98, 456, 0, 0, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
7, 3970, 14, 3, 13, 3271, 522, 12073, 12048, 15, 14, 0, 118, 431, 0, 6, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 8, 1000,
0, 555, 0, 0, 0, 0, 0, 12091, 12019, 15, 14, 0, 0, 0, 555, 0, 370, 1, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
2, 1488, 15, 3, 7, 1217, 133, 12091, 12018, 15, 14, 0, 84, 425, 0, 20, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
1, 1851, 32, 7, 5, 1229, 131, 12091, 12018, 15, 14, 0, 372, 67, 0, 66, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
5, 1513, 12, 4, 8, 1228, 132, 12091, 12018, 15, 14, 0, 99, 410, 0, 20, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
3, 1512, 17, 3, 8, 1230, 132, 12091, 12018, 16, 15, 0, 91, 412, 0, 22, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
4, 1508, 16, 3, 8, 1235, 132, 12091, 12018, 15, 14, 0, 85, 423, 18, 0, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
6, 1513, 18, 3, 6, 1241, 133, 12091, 12018, 15, 14, 0, 86, 420, 18, 0, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
7, 2872, 13, 3, 13, 2469, 263, 12091, 12019, 16, 15, 0, 96, 430, 0, 0, 368, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 128. 16, 1000,
3, 451, 14, 3, 0, 0, 0, 12089, 12017, 16, 15, 0, 433, 42, 0, 0, 373, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
0, 1315, 0, 0, 5, 884, 258, 12088, 12017, 16, 15, 0, 136, 419, 19, 0, 373, 1, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
5, 2405, 15, 3, 6, 1623, 261, 12089, 12017, 16, 15, 0, 418, 71, 0, 64, 372, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
7, 2404, 16, 3, 7, 1618, 265, 12089, 12017, 15, 15, 0, 417, 71, 0, 63, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
6, 2412, 14, 3, 8, 1630, 262, 12089, 12017, 15, 15, 0, 419, 72, 0, 63, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
2, 2414, 36, 6, 5, 1636, 260, 12089, 12017, 16, 15, 0, 391, 70, 0, 64, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
1, 2100, 14, 3, 7, 1650, 265, 12089, 12017, 16, 14, 0, 124, 406, 0, 23, 371, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
4, 3910, 15, 3, 12, 3243, 520, 12089, 12017, 16, 15, 0, 96, 452, 0, 0, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 8, 1000,
3, 430, 13, 3, 0, 0, 0, 12067, 12071, 16, 15, 0, 413, 42, 0, 0, 373, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
1, 917, 0, 0, 5, 647, 129, 12067, 12071, 15, 14, 0, 117, 419, 0, 10, 369, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
4, 1831, 18, 3, 6, 1210, 131, 12067, 12071, 16, 14, 0, 394, 70, 57, 0, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
2, 1496, 18, 3, 7, 1225, 131, 12067, 12071, 17, 14, 0, 91, 419, 0, 11, 367, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
7, 1846, 15, 3, 8, 1225, 131, 12067, 12071, 16, 14, 0, 397, 71, 0, 56, 370, 0, 0, 0, 0, 0 3, 1000000, 5, 1. 256. 16, 1000,
