
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 24, 350, 8, 1, 0, 161, 66, 2391, 2399, 5, 3, 1, 92, 21, 14, 1, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 10, 348, 7, 0, 0, 161, 66, 2391, 2399, 5, 3, 1, 91, 24, 5, 10, 377, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 28, 345, 8, 0, 0, 161, 67, 2391, 2399, 4, 3, 1, 87, 28, 8, 6, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 14, 347, 8, 0, 0, 162, 69, 2391, 2399, 5, 3, 1, 87, 28, 4, 10, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 4, 532, 7, 0, 1, 323, 124, 2391, 2399, 5, 3, 1, 58, 61, 3, 8, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 31, 572, 7, 0, 0, 323, 124, 2391, 2399, 4, 3, 1, 93, 22, 0, 15, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 9, 538, 7, 0, 1, 321, 127, 2391, 2399, 4, 3, 1, 62, 57, 0, 11, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 22, 574, 10, 1, 0, 327, 124, 2391, 2399, 4, 3, 1, 88, 23, 1, 13, 377, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 0, 576, 7, 0, 1, 328, 124, 2391, 2399, 5, 3, 1, 92, 21, 15, 0, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 30, 572, 10, 1, 0, 322, 132, 2391, 2399, 5, 3, 1, 85, 28, 0, 13, 374, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 8, 532, 7, 0, 0, 323, 131, 2391, 2399, 5, 3, 1, 52, 68, 0, 8, 389, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 26, 528, 7, 0, 0, 322, 133, 2391, 2399, 5, 3, 1, 48, 74, 6, 1, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 6, 538, 7, 0, 0, 329, 129, 2391, 2399, 5, 3, 1, 54, 66, 1, 8, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 5, 539, 7, 0, 0, 329, 129, 2391, 2399, 4, 3, 1, 54, 66, 0, 10, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 20, 542, 3, 0, 0, 326, 132, 2390, 2399, 6, 3, 1, 62, 63, 1, 7, 374, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 16, 577, 7, 0, 0, 333, 126, 2391, 2399, 5, 3, 1, 88, 29, 11, 1, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 15, 571, 8, 0, 0, 327, 133, 2391, 2399, 4, 3, 1, 83, 35, 0, 10, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 17, 572, 7, 0, 0, 329, 132, 2391, 2399, 6, 3, 1, 85, 35, 0, 10, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 1, 541, 3, 0, 0, 329, 132, 2390, 2399, 5, 3, 1, 58, 67, 0, 9, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 12, 573, 7, 0, 0, 330, 132, 2391, 2399, 5, 3, 1, 84, 36, 2, 8, 378, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 21, 539, 7, 0, 0, 325, 137, 2391, 2399, 6, 3, 1, 52, 70, 0, 7, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 19, 585, 11, 1, 0, 327, 137, 2391, 2399, 5, 3, 1, 86, 25, 0, 14, 374, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 2, 545, 7, 0, 0, 335, 132, 2391, 2399, 4, 3, 1, 52, 69, 1, 8, 377, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 23, 588, 7, 0, 0, 329, 136, 2391, 2399, 5, 3, 1, 90, 26, 0, 13, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 3, 543, 7, 0, 0, 333, 134, 2391, 2399, 5, 3, 1, 51, 71, 0, 8, 377, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 7, 543, 7, 0, 0, 335, 134, 2391, 2399, 4, 3, 1, 49, 73, 0, 8, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 25, 543, 7, 0, 0, 335, 135, 2391, 2399, 4, 3, 1, 49, 73, 0, 7, 378, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 11, 582, 8, 0, 0, 333, 137, 2391, 2399, 5, 3, 1, 82, 35, 0, 10, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 13, 738, 7, 1, 1, 467, 187, 2391, 2399, 5, 3, 1, 55, 65, 0, 8, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 27, 705, 3, 0, 1, 474, 190, 2390, 2400, 5, 3, 1, 23, 109, 0, 1, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 29, 744, 7, 0, 1, 472, 197, 2391, 2399, 5, 3, 1, 48, 76, 0, 6, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 18, 751, 7, 0, 1, 476, 206, 2391, 2399, 5, 3, 1, 46, 78, 0, 5, 374, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
