depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,2,0,3,4266,0.00000064820364,0.00012959325,0.0003173844,0.00015312582,0,20,3870,25,1
5,2,0.0000001,3,4222,0.00000047317712,0.00012963936,0.00031778537,0.00015320588,0,20,3839,25,1
5,2,0.00001,3,4240,0.0000006309027,0.00012961928,0.00031770518,0.00015318072,0,20,3931,25,1
5,2,0.001,3,4185,0.00000072530827,0.00013016297,0.00032027136,0.0001540625,0,20,3951,25,1
5,2,0.1,3,4215,0.00011876743,0.00043573737,0.00071634457,0.00046051442,0,20,4337,25,1
