depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,1,0,4,4461,0.0000024167498,0.00012994284,0.00030317382,0.00015072546,0,5,3935,49,1
5,1,0.0000001,4,4323,0.0000020945172,0.0001299171,0.00030286386,0.00015070081,0,5,3930,49,1
5,1,0.00001,4,4274,0.0000020945172,0.00012991749,0.00030294133,0.00015069862,0,5,4031,49,1
5,1,0.001,4,4257,0.0000009667014,0.0001298145,0.0003019339,0.00015058639,0,5,4009,49,1
5,1,0.1,4,4184,0.0000021348465,0.00016950956,0.0004090537,0.00020477592,0,5,4311,30,1
