depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,0,0,10,4856,0.0000000000029317119356101723,0.00000000005104932498091634,0.00000000012526600391800233,0,0,16172,487,0
4,0,0,11,5440,0.000000000000014890326803227777,0.000000000003026379359232238,0.00000000001416101357441885,0,0,30339,601,0
4,0,0.00000000001,10,4527,0.0000000000029300422228996196,0.000000000051050097818985494,0.00000000012526752366618626,0,0,15805,487,0
4,0,0.00000000001,11,4890,0.000000000000014130616252042675,0.0000000000030260191595321967,0.000000000014161165549237207,0,0,29709,593,0
4,0,0.000000001,10,4557,0.00000000000279950104734729,0.00000000005114753794496724,0.00000000012524533534270104,0,0,14928,466,0
4,0,0.000000001,11,4882,0.00000000000003963077973964681,0.000000000003118304822015851,0.000000000014239736530328416,0,0,26067,534,0
4,0,0.0000001,10,4672,0.0000000000001997185120746853,0.00000000004783172206353156,0.00000000012504351278387652,0,0,12894,383,0
4,0,0.0000001,11,5001,0.00000000000011331871468785584,0.000000000010317835764780888,0.00000000002398132092893198,0,0,22334,398,0
4,0,0.00001,10,4630,0.000000000000646855767129401,0.0000000010556953438833612,0.0000000033648051413350715,0,0,11021,233,0
4,0,0.00001,11,4817,0.000000000001821139627214387,0.0000000006642605657453872,0.0000000018466420630631243,0,0,20790,243,0
4,1,0,10,5643,0.00000000000021246536543830646,0.000000000018672488112297772,0.00000000005606676071553403,0,0,24095,487,0
4,1,0,11,6332,0.000000000000006665048178330722,0.0000000000009988456655565528,0.000000000007992811621751628,0,0,41460,601,0
4,1,0.00000000001,10,4906,0.00000000000021140227926384725,0.000000000018672346479985657,0.00000000005606706425492396,0,0,24912,487,0
4,1,0.00000000001,11,5210,0.000000000000007573918384466736,0.000000000000998774569345055,0.00000000000799433136993519,0,0,41256,601,0
4,1,0.000000001,10,4756,0.00000000000008306214610709874,0.00000000001854860116483111,0.00000000005596158431692624,0,0,24518,487,0
4,1,0.000000001,11,5034,0.000000000000010169106499876576,0.0000000000010079942049632313,0.000000000008074726048845707,0,0,39878,589,0
4,1,0.0000001,10,4657,0.0000000000001548921846969407,0.00000000002637858956379475,0.00000000007326622379212543,0,0,21395,395,0
4,1,0.0000001,11,5022,0.00000000000004373051557478633,0.00000000000811248974407966,0.000000000018841220251537132,0,0,33061,412,0
4,1,0.00001,10,4549,0.000000000007121980006282466,0.0000000006040892050587194,0.0000000020752450141016526,0,0,19484,239,0
4,1,0.00001,11,4846,0.00000000003258746659934689,0.0000000007941464532868074,0.0000000021522138777601375,0,0,30790,243,0
4,2,0,10,5329,0.00000000000021744608793714535,0.000000000012875251835773216,0.000000000047436680550907926,0,0,27564,487,0
4,2,0,11,6190,0.0000000000000028859105500623156,0.0000000000006539390804123093,0.000000000005781274065034914,0,0,51521,601,0
4,2,0.00000000001,10,4765,0.00000000000021623130532297108,0.000000000012875990688831867,0.00000000004743683232060289,0,0,28167,487,0
4,2,0.00000000001,11,5156,0.000000000000003797250723766208,0.000000000000654220638858185,0.000000000005782185913945048,0,0,51740,601,0
4,2,0.000000001,10,4760,0.0000000000002602565007489649,0.000000000012803722525544508,0.00000000004737764213956718,0,0,27533,487,0
4,2,0.000000001,11,5063,0.000000000000003792537140924034,0.0000000000006926056527536109,0.000000000005833401427730914,0,0,51302,601,0
4,2,0.0000001,10,4603,0.00000000000006990607648298516,0.000000000022859554387444694,0.00000000006679278036737822,0,0,25174,404,0
4,2,0.0000001,11,4886,0.00000000000009460571673153921,0.000000000007218771384510317,0.00000000001570682305298447,0,0,43727,420,0
4,2,0.00001,10,4560,0.000000000004243018084403914,0.0000000007215352879983254,0.000000001956626846586828,0,0,22892,243,0
4,2,0.00001,11,4718,0.000000000018551729869821162,0.0000000009434517462503454,0.0000000022493055736101006,0,0,40984,243,0
