depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,0,0.0,2,562,0.03487918,0.040229473,0.053911474,0.03865559,0,20,449,4,1
4,0,0.0,3,585,5.0574286e-06,0.00043314937,0.0006942123,0.00046776718,0,20,467,13,1
4,0,0.0,4,571,3.577735e-05,8.145509e-05,0.00013965143,8.302265e-05,0,20,480,28,1
4,0,1e-07,2,580,0.034879345,0.040229622,0.053911656,0.038655724,0,20,458,4,1
4,0,1e-07,3,723,5.0574286e-06,0.00043317646,0.0006942877,0.0004677927,0,20,461,13,1
4,0,1e-07,4,567,3.5928304e-05,8.150327e-05,0.00013965143,8.306787e-05,0,20,496,28,1
4,0,1e-05,2,588,0.03487918,0.04022943,0.053911474,0.038655546,0,20,455,4,1
4,0,1e-05,3,602,5.0574286e-06,0.0004331772,0.0006942123,0.00046779498,0,20,467,13,1
4,0,1e-05,4,558,3.5982404e-05,8.1597085e-05,0.00013972657,8.31598e-05,0,20,494,28,1
4,0,0.001,2,556,0.03487918,0.04022937,0.053911384,0.038655493,0,20,459,4,1
4,0,0.001,3,581,4.7363205e-06,0.00043288962,0.0006939105,0.00046752763,0,20,459,13,1
4,0,0.001,4,563,3.538644e-05,8.099228e-05,0.00013912536,8.256717e-05,0,20,486,28,1
4,0,0.1,2,556,0.03708268,0.043110866,0.05803051,0.041311584,0,20,454,4,1
4,0,0.1,3,559,0.0009044755,0.0012580857,0.0014414397,0.0012606005,0,20,454,13,1
4,0,0.1,4,573,4.8378413e-05,0.00016561593,0.0002261079,0.00016777524,0,20,487,28,1
4,1,0.0,2,556,0.03331215,0.035345316,0.037070148,0.036609743,0,20,459,7,1
4,1,0.0,3,568,6.2332435e-07,5.6156587e-05,0.00012723051,6.1584535e-05,0,20,491,25,1
4,1,0.0,4,587,1.5064326e-07,1.177497e-05,6.156267e-05,1.6212238e-05,0,20,573,49,1
4,1,1e-07,2,564,0.033312082,0.03534529,0.037070073,0.0366097,0,20,461,7,1
4,1,1e-07,3,578,5.4540885e-07,5.6135068e-05,0.00012723051,6.156518e-05,0,20,553,25,1
4,1,1e-07,4,593,1.5280003e-07,1.1797564e-05,6.163784e-05,1.622406e-05,0,20,573,49,1
4,1,1e-05,2,577,0.033312082,0.035345323,0.037070148,0.03660975,0,20,460,7,1
4,1,1e-05,3,591,3.1166226e-07,5.58701e-05,0.0001268581,6.131183e-05,0,20,487,25,1
4,1,1e-05,4,658,7.532162e-08,1.1735267e-05,6.1713e-05,1.6193286e-05,0,20,563,49,1
4,1,0.001,2,569,0.033311315,0.035344213,0.03706852,0.036608573,0,20,468,7,1
4,1,0.001,3,671,8.539887e-07,5.352015e-05,0.00012477262,5.9119127e-05,0,20,497,25,1
4,1,0.001,4,611,7.9530366e-08,1.2080459e-05,6.0961363e-05,1.6351943e-05,0,20,576,49,1
4,1,0.1,2,669,0.032212093,0.034029946,0.035489418,0.035202954,0,20,457,7,1
4,1,0.1,3,655,0.00025024184,0.00044146492,0.0005738029,0.0004452777,0,20,493,25,1
4,1,0.1,4,662,1.21781295e-05,0.00010028275,0.00016211087,0.00010298154,0,20,561,30,1
4,2,0.0,2,698,0.0042982968,0.005766249,0.0073462636,0.0058136154,0,20,478,7,1
4,2,0.0,3,618,9.835721e-06,8.699696e-05,0.00017148461,9.034309e-05,0,20,528,25,1
