depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,setup_time
5,5,16,4436,1.288938e-06,0.00012569428,0.00030825654,0.00014677555,3927
6,3,16,1367,0.0003791737,0.0004618011,0.000542133,0.00046473174,5022
6,5,64,3694,4.457746e-05,0.00011925035,0.00019870921,0.00012959247,5275
6,3,128,1292,0.0003791737,0.0004618011,0.000542133,0.00046473174,5092
5,5,32,4355,1.288938e-06,0.00012569428,0.00030825654,0.00014677555,3910
6,3,32,1367,0.0003791737,0.0004618011,0.000542133,0.00046473174,5127
5,3,32,4109,0.00014249298,0.00045863597,0.000723327,0.0004806604,3755
5,4,32,4196,5.5630085e-07,0.00014264838,0.0003826771,0.00016835216,3856
6,5,16,4785,4.457746e-05,0.00011925035,0.00019870921,0.00012959247,5564
6,5,32,3814,4.457746e-05,0.00011925035,0.00019870921,0.00012959247,5275
5,4,128,4203,5.5630085e-07,0.00014264838,0.0003826771,0.00016835216,3890
5,3,64,4061,0.00014249298,0.00045863597,0.000723327,0.0004806604,3798
5,4,64,4156,5.5630085e-07,0.00014264838,0.0003826771,0.00016835216,3873
6,4,64,1941,0.00014757123,0.00022088861,0.0002971805,0.0002260225,5181
5,5,128,4396,1.288938e-06,0.00012569428,0.00030825654,0.00014677555,3990
6,5,128,3759,4.457746e-05,0.00011925035,0.00019870921,0.00012959247,5345
5,3,128,4033,0.00014249298,0.00045863597,0.000723327,0.0004806604,3821
6,4,16,2410,0.00014757123,0.00022088861,0.0002971805,0.0002260225,5228
6,4,32,1974,0.00014757123,0.00022088861,0.0002971805,0.0002260225,5345
6,4,128,1970,0.00014757123,0.00022088861,0.0002971805,0.0002260225,5202
5,5,64,4426,1.288938e-06,0.00012569428,0.00030825654,0.00014677555,3944
5,3,16,4122,0.00014249298,0.00045863597,0.000723327,0.0004806604,3885
6,3,64,1260,0.0003791737,0.0004618011,0.000542133,0.00046473174,5030
5,4,16,4388,5.5630085e-07,0.00014264838,0.0003826771,0.00016835216,3877
