depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,setup_time
5,10,16,9988,1.49701e-11,2.11958e-11,3.48828e-11,2.17944e-11,3412
4,10,32,1853,5.858e-13,1.43189e-11,9.35883e-11,1.8006e-11,2648
5,11,128,13430,1.3449e-12,1.93e-12,2.8292e-12,1.9795e-12,4926
4,8,64,1528,2.77649e-11,1.4979825e-09,6.541376e-09,1.6842635e-09,1551
4,10,16,2083,5.858e-13,1.43189e-11,9.35883e-11,1.8006e-11,2495
4,8,16,1568,2.77649e-11,1.4979825e-09,6.541376e-09,1.6842635e-09,1543
5,9,128,3450,2.155337e-10,3.714159e-10,6.141323e-10,3.874181e-10,3365
4,11,32,2143,1.698e-13,1.1634e-12,6.0448e-12,1.3546e-12,3625
5,11,16,14059,1.3449e-12,1.93e-12,2.8292e-12,1.9795e-12,4899
5,7,32,1752,2.07600576e-08,3.1383106e-08,4.63024882e-08,3.2194309e-08,1820
4,6,64,1327,1.66867022e-08,1.806345983e-07,7.584427734e-07,2.118948868e-07,1114
4,6,16,1369,1.66867022e-08,1.806345983e-07,7.584427734e-07,2.118948868e-07,1099
4,11,16,2665,1.698e-13,1.1634e-12,6.0448e-12,1.3546e-12,3689
5,8,32,2504,6.77599e-10,2.6624143e-09,4.2052069e-09,2.8020022e-09,2141
4,7,32,1371,1.2761168e-09,1.49389564e-08,4.28689546e-08,1.63759041e-08,1250
5,10,32,7319,1.49701e-11,2.11958e-11,3.48828e-11,2.17944e-11,3442
4,8,32,1512,2.77649e-11,1.4979825e-09,6.541376e-09,1.6842635e-09,1532
5,7,64,1685,2.07600576e-08,3.1383106e-08,4.63024882e-08,3.2194309e-08,1767
5,8,128,2341,6.77599e-10,2.6624143e-09,4.2052069e-09,2.8020022e-09,2146
5,10,128,6333,1.49701e-11,2.11958e-11,3.48828e-11,2.17944e-11,3454
5,8,16,3871,6.77599e-10,2.6624143e-09,4.2052069e-09,2.8020022e-09,2167
5,7,16,2597,2.07600576e-08,3.1383106e-08,4.63024882e-08,3.2194309e-08,1748
5,11,32,13356,1.3449e-12,1.93e-12,2.8292e-12,1.9795e-12,4929
5,9,64,3498,2.155337e-10,3.714159e-10,6.141323e-10,3.874181e-10,3221
4,7,64,1388,1.2761168e-09,1.49389564e-08,4.28689546e-08,1.63759041e-08,1279
5,6,32,1173,7.36394731e-08,2.738469653e-07,4.085263879e-07,2.846680117e-07,1508
4,8,128,1536,2.77649e-11,1.4979825e-09,6.541376e-09,1.6842635e-09,1545
4,7,16,1454,1.2761168e-09,1.49389564e-08,4.28689546e-08,1.63759041e-08,1298
4,11,128,2217,1.698e-13,1.1634e-12,6.0448e-12,1.3546e-12,3847
4,10,64,1837,5.858e-13,1.43189e-11,9.35883e-11,1.8006e-11,2446
5,6,128,1104,7.36394731e-08,2.738469653e-07,4.085263879e-07,2.846680117e-07,1516
4,9,64,1708,6.67161e-11,1.653356e-10,5.717558e-10,1.900623e-10,2465
4,7,128,1421,1.2761168e-09,1.49389564e-08,4.28689546e-08,1.63759041e-08,1273
4,9,16,1783,6.67161e-11,1.653356e-10,5.717558e-10,1.900623e-10,2389
4,11,64,2186,1.698e-13,1.1634e-12,6.0448e-12,1.3546e-12,3715
5,6,16,1332,7.36394731e-08,2.738469653e-07,4.085263879e-07,2.846680117e-07,1502
5,8,64,2349,6.77599e-10,2.6624143e-09,4.2052069e-09,2.8020022e-09,2158
4,9,128,1727,6.67161e-11,1.653356e-10,5.717558e-10,1.900623e-10,2361
5,9,16,6463,2.155337e-10,3.714159e-10,6.141323e-10,3.874181e-10,3275
5,11,64,13139,1.3449e-12,1.93e-12,2.8292e-12,1.9795e-12,4885
4,10,128,1870,5.858e-13,1.43189e-11,9.35883e-11,1.8006e-11,2573
4,6,128,1331,1.66867022e-08,1.806345983e-07,7.584427734e-07,2.118948868e-07,1133
4,9,32,1737,6.67161e-11,1.653356e-10,5.717558e-10,1.900623e-10,2168
5,7,128,1647,2.07600576e-08,3.1383106e-08,4.63024882e-08,3.2194309e-08,1748
5,6,64,1158,7.36394731e-08,2.738469653e-07,4.085263879e-07,2.846680117e-07,1513
5,10,64,6187,1.49701e-11,2.11958e-11,3.48828e-11,2.17944e-11,3486
4,6,32,1294,1.66867022e-08,1.806345983e-07,7.584427734e-07,2.118948868e-07,1123
5,9,32,3556,2.155337e-10,3.714159e-10,6.141323e-10,3.874181e-10,3762
