depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,1e-07,11,15590,5.8339e-12,1.472524e-10,3.468003e-10,1.63668e-10,0,10,15023,301,1
5,0,1e-05,11,14812,1.5406516e-09,3.0025878e-09,5.0592527e-09,3.0795922e-09,0,10,14262,268,1
5,0,0.001,11,13537,2.26383729e-08,3.69421389e-08,5.03577844e-08,3.77853389e-08,0,10,13755,136,1
5,0,0.1,11,12522,9.08087424e-08,1.4537006539e-06,4.0927454254e-06,1.6717242554e-06,0,10,13461,50,1
5,1,0.0,6,11485,2.4843652e-09,2.855434584e-07,7.843567147e-07,3.301985641e-07,0,5,4941,109,1
5,1,1e-07,6,11193,2.4623925e-09,2.854987575e-07,7.842559646e-07,3.301514407e-07,0,5,4879,109,1
5,1,1e-05,6,11207,1.7350413e-09,2.768278843e-07,7.672141101e-07,3.211204204e-07,0,5,4966,109,1
5,1,0.001,6,11016,2.98034134e-08,3.089595362e-07,9.472304898e-07,3.400017419e-07,0,5,5640,107,1
5,1,0.1,6,10871,5.4437795285e-06,2.12389814878e-05,2.6049423882e-05,2.16453808639e-05,0,5,5717,39,1
5,2,0.0,5,11483,6.8248213e-08,7.743838667e-07,1.6279327315e-06,8.166904307e-07,0,10,4946,97,1
5,2,1e-07,5,11187,6.83702899e-08,7.744963071e-07,1.6281367355e-06,8.168036708e-07,0,10,4699,97,1
5,2,1e-05,5,11381,8.2560343e-08,7.862101219e-07,1.6473229087e-06,8.285162175e-07,0,10,4700,97,1
5,2,0.001,5,11017,8.353813817e-07,1.6155770726e-06,2.7956763632e-06,1.6511807393e-06,0,10,5539,97,1
5,2,0.1,5,10597,2.00271484012e-05,4.78515334128e-05,9.48696718917e-05,4.99971467375e-05,0,10,5656,36,1
6,0,0.0,4,5217,2.54468880091e-05,4.7996287057e-05,6.71995764389e-05,4.92426848993e-05,0,5,10755,28,1
6,0,1e-07,4,5399,2.5446872022e-05,4.79962766479e-05,6.7199569398e-05,4.92426757622e-05,0,5,10577,28,1
6,0,1e-05,4,4969,2.54654854475e-05,4.80150510832e-05,6.72168390898e-05,4.92608342849e-05,0,5,10989,28,1
6,0,0.001,4,4437,2.47015409085e-05,4.73888201692e-05,6.65658095916e-05,4.86554676467e-05,0,5,11627,28,1
6,0,0.1,4,4575,0.0002571146973462,0.0002787219193606,0.000303081932157,0.0002788918883405,0,5,12204,25,1
6,2,0.0,4,9341,1.7976395851e-06,2.54379000109e-05,3.70923168963e-05,2.78018939059e-05,0,10,11048,55,1
6,2,1e-07,4,8038,1.7976759682e-06,2.54379297017e-05,3.70923469255e-05,2.78019210237e-05,0,10,11050,55,1
6,2,1e-05,4,7686,1.8077634011e-06,2.54488494206e-05,3.71050791316e-05,2.7812114116e-05,0,10,11713,55,1
