depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0.0,9,2984,1.3117023e-09,4.0800472e-09,6.3909624e-09,4.250302e-09,0,10,4520,193,1
5,0,1e-07,9,1889,1.3048894e-09,4.072757e-09,6.3835413e-09,4.2433893e-09,0,10,4442,193,1
5,0,1e-05,9,1784,1.24796e-11,1.1139577e-09,3.2839821e-09,1.4083504e-09,0,10,4467,193,1
5,0,0.001,9,1339,6.574857e-10,1.06249065e-08,1.9038657e-08,1.20444263e-08,0,10,4233,127,1
5,0,0.1,9,842,7.1904522e-08,2.3254019346e-06,4.0189604146e-06,2.6276866999e-06,0,10,4183,49,1
5,1,0.0,8,2865,3.9473129e-09,7.9961677e-09,1.11344031e-08,8.1302439e-09,0,5,5032,193,1
5,1,1e-07,8,1799,3.9411525e-09,7.9878213e-09,1.11199707e-08,8.1217422e-09,0,5,4958,193,1
5,1,1e-05,8,1738,1.1257001e-09,4.7065144e-09,6.6367937e-09,4.8690607e-09,0,5,4948,193,1
5,1,0.001,8,1208,3.6126038e-09,1.6651279e-08,2.43362245e-08,1.73380805e-08,0,5,4721,125,1
5,1,0.1,8,715,3.01229624e-08,4.7521384323e-06,9.7512983379e-06,5.5040157868e-06,0,5,4644,48,1
5,1,0.0,10,5387,1.7917e-12,5.23968e-11,1.719182e-10,7.14708e-11,0,20,13843,301,1
5,1,1e-07,10,2923,5.3742e-12,5.28538e-11,1.772887e-10,7.23679e-11,0,20,13911,301,1
5,1,1e-05,10,2744,2.3983866e-09,4.0287243e-09,5.35019e-09,4.1007658e-09,0,20,13538,268,1
5,1,0.001,10,1733,1.28311288e-08,2.13222794e-08,2.97526693e-08,2.17435998e-08,0,20,13939,130,1
5,1,0.1,10,1242,4.44274078e-08,1.3502968792e-06,2.7957506014e-06,1.577379553e-06,0,20,13887,50,1
5,0,0.0,8,1982,3.6722253e-09,1.33134608e-08,2.40149677e-08,1.46354062e-08,0,5,2778,148,1
5,0,1e-07,8,1529,3.6769461e-09,1.33205863e-08,2.40235617e-08,1.46424032e-08,0,5,2791,148,1
5,0,1e-05,8,1305,6.0521017e-09,1.57826755e-08,2.6651119e-08,1.69554989e-08,0,5,2790,148,1
