depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,setup_time
5,3,64,9478,0.0004302094661582,0.0004695405070548,0.0005225590372846,0.0004693975719874,3880
6,7,16,57901,4.08606705e-08,5.11503705e-08,6.42298842e-08,5.18709254e-08,6947
5,11,64,23998,2.474e-13,1.8509e-12,4.4044e-12,1.9383e-12,7480
5,10,16,19936,3.2094e-12,1.97797e-11,6.61084e-11,2.0958e-11,6430
6,6,16,20248,2.852841387e-07,4.903325164e-07,6.666482311e-07,5.076318473e-07,5995
5,11,128,24240,2.474e-13,1.8509e-12,4.4044e-12,1.9383e-12,7465
5,3,128,9461,0.0004302094661582,0.0004695405070548,0.0005225590372846,0.0004693975719874,3894
5,4,64,9821,1.86236918435e-05,6.62908228092e-05,0.000126559153493,6.86300137494e-05,3894
5,4,128,9659,1.86236918435e-05,6.62908228092e-05,0.000126559153493,6.86300137494e-05,3883
6,3,32,2427,0.0005657645803314,0.0005748734450373,0.0005876071582981,0.000574662215303,5173
5,3,32,9774,0.0004302094661582,0.0004695405070548,0.0005225590372846,0.0004693975719874,3935
5,7,128,12442,8.4996564e-09,2.96747495e-08,6.065169e-08,3.059283e-08,4416
5,7,16,11903,8.4996564e-09,2.96747495e-08,6.065169e-08,3.059283e-08,4475
6,4,32,5803,8.4358307418e-05,0.0001098421197683,0.0001237210326601,0.0001105432038672,5345
5,7,32,11952,8.4996564e-09,2.96747495e-08,6.065169e-08,3.059283e-08,4491
5,4,32,9748,1.86236918435e-05,6.62908228092e-05,0.000126559153493,6.86300137494e-05,3924
5,10,64,18719,3.2094e-12,1.97797e-11,6.61084e-11,2.0958e-11,6122
5,11,16,26403,2.474e-13,1.8509e-12,4.4044e-12,1.9383e-12,7532
5,10,128,19029,3.2094e-12,1.97797e-11,6.61084e-11,2.0958e-11,6189
5,9,64,13827,1.292219e-10,3.365482e-10,8.818217e-10,3.581873e-10,5856
6,8,16,124471,3.0530646e-09,4.7111747e-09,6.2799058e-09,4.8680621e-09,7257
5,11,32,25233,2.474e-13,1.8509e-12,4.4044e-12,1.9383e-12,7460
5,7,64,12626,8.4996564e-09,2.96747495e-08,6.065169e-08,3.059283e-08,4489
6,8,16,120908,3.0530646e-09,4.7111747e-09,6.2799058e-09,4.8680621e-09,7352
5,10,32,18611,3.2094e-12,1.97797e-11,6.61084e-11,2.0958e-11,6028
5,8,32,12468,3.089903e-10,2.4785245e-09,5.816543e-09,2.6090605e-09,5179
5,9,128,16400,1.292219e-10,3.365482e-10,8.818217e-10,3.581873e-10,6289
5,9,16,17282,1.292219e-10,3.365482e-10,8.818217e-10,3.581873e-10,5855
5,9,32,13792,1.292219e-10,3.365482e-10,8.818217e-10,3.581873e-10,5947
5,8,16,15089,3.089903e-10,2.4785245e-09,5.816543e-09,2.6090605e-09,5104
5,6,128,13085,1.808591e-09,2.783385108e-07,6.058196768e-07,2.939845117e-07,4243
5,8,64,12236,3.089903e-10,2.4785245e-09,5.816543e-09,2.6090605e-09,5124
6,3,64,2375,0.0005657645803314,0.0005748734450373,0.0005876071582981,0.000574662215303,5097
5,6,64,11284,1.808591e-09,2.783385108e-07,6.058196768e-07,2.939845117e-07,4300
6,4,64,4881,8.4358307418e-05,0.0001098421197683,0.0001237210326601,0.0001105432038672,5239
5,3,16,9475,0.0004302094661582,0.0004695405070548,0.0005225590372846,0.0004693975719874,3866
6,3,16,3007,0.0005657645803314,0.0005748734450373,0.0005876071582981,0.000574662215303,5152
6,4,128,5090,8.4358307418e-05,0.0001098421197683,0.0001237210326601,0.0001105432038672,5259
5,6,32,10778,1.808591e-09,2.783385108e-07,6.058196768e-07,2.939845117e-07,4102
5,4,16,9716,1.86236918435e-05,6.62908228092e-05,0.000126559153493,6.86300137494e-05,3908
6,4,16,5335,8.4358307418e-05,0.0001098421197683,0.0001237210326601,0.0001105432038672,5338
5,6,16,10684,1.808591e-09,2.783385108e-07,6.058196768e-07,2.939845117e-07,4157
6,6,16,23075,2.852841387e-07,4.903325164e-07,6.666482311e-07,5.076318473e-07,6616
6,3,128,2367,0.0005657645803314,0.0005748734450373,0.0005876071582981,0.000574662215303,5106
5,8,128,12760,3.089903e-10,2.4785245e-09,5.816543e-09,2.6090605e-09,4834
6,7,16,43875,4.08606705e-08,5.11503705e-08,6.42298842e-08,5.18709254e-08,6504
