
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 25, 648, 8, 0, 1, 102, 138, 2411, 2382, 4, 3, 1, 627, 389, 33, 0, 2, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 19, 501, 7, 0, 1, 132, 197, 2411, 2383, 6, 3, 1, 797, 150, 74, 0, 2, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 31, 641, 10, 1, 1, 134, 196, 2411, 2382, 6, 3, 1, 436, 284, 23, 0, 4, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 4, 366, 7, 0, 1, 136, 206, 2411, 2383, 5, 3, 1, 1015, 4, 80, 0, 1, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"1_0_0_0", 23, 6634, 50, 6, 7, 705, 116, 2547, 2543, 5, 3, 1, 1295, 5722, 31, 0, 20, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 10, 6430, 51, 6, 7, 722, 107, 2548, 2542, 4, 3, 1, 1328, 5507, 31, 0, 21, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 14, 5978, 50, 6, 5, 748, 108, 2547, 2543, 4, 3, 1, 1737, 5031, 34, 0, 19, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 15, 1821, 50, 6, 9, 1390, 234, 2547, 2543, 4, 3, 1, 6578, 114, 109, 0, 8, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 11, 2295, 51, 6, 8, 1400, 237, 2547, 2543, 4, 3, 1, 6403, 574, 110, 0, 7, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 21, 2392, 49, 6, 8, 1526, 227, 2547, 2543, 4, 3, 1, 6129, 561, 109, 0, 4, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 20, 1896, 51, 6, 9, 1522, 231, 2547, 2543, 6, 3, 1, 6695, 65, 112, 0, 1, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 12, 2008, 51, 6, 9, 1507, 260, 2547, 2543, 5, 3, 1, 6705, 158, 112, 0, 7, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 16, 3156, 49, 6, 9, 1574, 231, 2547, 2543, 5, 3, 1, 5749, 1270, 106, 0, 7, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 18, 2157, 50, 6, 8, 1609, 243, 2547, 2543, 6, 3, 1, 6763, 228, 108, 0, 2, 47, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 19, 3403, 50, 6, 9, 1605, 248, 2547, 2543, 5, 3, 1, 5492, 1465, 102, 0, 10, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 17, 2093, 51, 6, 8, 1612, 241, 2547, 2543, 5, 3, 0, 6361, 154, 109, 0, 9, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 24, 5582, 27, 3, 8, 1686, 250, 2547, 2543, 6, 3, 1, 6682, 3590, 109, 0, 7, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 9, 7265, 50, 6, 9, 1738, 233, 2547, 2543, 5, 3, 1, 1422, 5198, 33, 0, 20, 47, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 8, 6457, 50, 6, 8, 1753, 240, 2547, 2543, 5, 3, 1, 2080, 4370, 40, 0, 19, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 25, 5736, 50, 6, 8, 1933, 248, 2547, 2543, 5, 3, 0, 3073, 3462, 46, 0, 16, 47, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 26, 6295, 50, 6, 9, 2053, 210, 2547, 2543, 5, 3, 1, 2700, 3939, 44, 0, 17, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 27, 6783, 49, 6, 9, 2053, 245, 2547, 2543, 5, 3, 1, 2362, 4393, 41, 0, 18, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 22, 2409, 54, 6, 24, 1945, 344, 2547, 2543, 6, 3, 0, 6779, 23, 112, 0, 1, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 30, 6484, 50, 6, 9, 2153, 238, 2547, 2543, 5, 3, 1, 2664, 3998, 43, 0, 18, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 0, 8082, 49, 6, 8, 2205, 205, 2547, 2543, 6, 3, 1, 1454, 5578, 30, 18, 0, 47, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 13, 3746, 52, 6, 24, 2037, 365, 2547, 2543, 5, 3, 1, 5760, 1240, 105, 0, 9, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 29, 6176, 51, 6, 9, 2201, 234, 2547, 2543, 5, 3, 1, 2917, 3652, 46, 0, 15, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 1, 6909, 51, 6, 8, 2230, 213, 2547, 2543, 6, 3, 1, 2076, 4371, 39, 0, 18, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 28, 5780, 51, 6, 8, 2197, 256, 2547, 2543, 6, 3, 1, 3184, 3238, 47, 0, 14, 46, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 4, 8077, 50, 6, 8, 2222, 239, 2547, 2543, 5, 3, 1, 1405, 5519, 30, 0, 20, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 2, 7318, 50, 6, 8, 2257, 231, 2547, 2543, 5, 3, 1, 2030, 4737, 38, 0, 18, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 5, 7263, 50, 6, 9, 2252, 238, 2547, 2543, 4, 3, 1, 2109, 4681, 39, 0, 19, 47, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 6, 7003, 50, 6, 9, 2256, 240, 2547, 2543, 5, 3, 1, 2100, 4415, 38, 0, 17, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 3, 6183, 50, 6, 8, 2268, 238, 2547, 2543, 4, 3, 1, 2738, 3585, 42, 0, 18, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 7, 6561, 50, 6, 10, 2282, 233, 2547, 2543, 4, 3, 1, 2656, 3953, 43, 0, 16, 46, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
"1_0_0_0", 31, 4557, 75, 10, 13, 2724, 339, 2547, 2543, 4, 3, 1, 1931, 1367, 37, 0, 18, 47, 1, 0, 0, 0, 0, 3, 250000, 5, 2, 1e-7, 4, 5000
