
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples

"0_0_0_0", 19, 1422, 7, 0, 0, 53, 65, 2350, 2359, 5, 3, 1, 613, 19, 0, 677, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 3, 1701, 3, 0, 0, 52, 67, 2350, 2359, 4, 3, 1, 966, 20, 0, 607, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 24, 1435, 7, 0, 0, 56, 67, 2350, 2359, 5, 3, 1, 698, 22, 541, 58, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 17, 1397, 7, 0, 0, 58, 67, 2350, 2359, 4, 3, 1, 654, 21, 0, 604, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 28, 1433, 7, 0, 0, 63, 69, 2350, 2359, 5, 3, 1, 775, 25, 455, 58, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 13, 1492, 7, 0, 0, 84, 128, 2350, 2359, 5, 3, 1, 898, 57, 0, 363, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 0, 1523, 7, 0, 1, 87, 129, 2350, 2359, 5, 3, 1, 648, 19, 640, 0, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 9, 1212, 11, 1, 0, 92, 127, 2350, 2359, 5, 3, 1, 284, 18, 0, 688, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 31, 1257, 11, 1, 0, 93, 128, 2350, 2359, 4, 3, 1, 333, 19, 0, 683, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 11, 1468, 7, 0, 0, 89, 132, 2350, 2359, 4, 3, 1, 1000, 63, 0, 230, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 30, 1471, 7, 0, 0, 90, 132, 2350, 2359, 4, 3, 1, 1028, 64, 0, 203, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 8, 1491, 7, 0, 0, 90, 133, 2350, 2359, 5, 3, 1, 1040, 67, 183, 28, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 15, 1456, 7, 0, 0, 90, 134, 2350, 2359, 5, 3, 1, 983, 63, 0, 232, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 12, 1470, 7, 0, 0, 93, 132, 2350, 2359, 5, 3, 1, 1029, 66, 171, 28, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 16, 1514, 7, 0, 0, 92, 134, 2350, 2359, 7, 3, 1, 1061, 64, 208, 2, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 1, 1492, 7, 0, 0, 94, 132, 2350, 2359, 5, 3, 1, 720, 24, 0, 528, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 5, 1469, 7, 0, 0, 95, 131, 2350, 2359, 5, 3, 1, 703, 24, 0, 523, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 6, 1487, 7, 0, 0, 95, 132, 2350, 2359, 4, 3, 1, 716, 24, 469, 59, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 2, 1498, 7, 0, 1, 94, 134, 2350, 2359, 4, 3, 1, 724, 24, 0, 530, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 23, 1505, 7, 0, 0, 90, 139, 2350, 2359, 5, 3, 1, 1009, 61, 0, 249, 46, 1, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 26, 1484, 7, 0, 1, 96, 135, 2350, 2359, 5, 3, 1, 838, 30, 237, 162, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 7, 1750, 3, 0, 1, 94, 138, 2350, 2359, 5, 3, 1, 1447, 69, 0, 59, 46, 1, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 20, 1406, 7, 0, 1, 99, 135, 2350, 2359, 4, 3, 1, 827, 33, 250, 79, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 10, 1767, 3, 0, 0, 95, 139, 2350, 2359, 5, 3, 1, 1473, 71, 0, 47, 47, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 21, 1463, 7, 0, 0, 99, 136, 2350, 2359, 5, 3, 1, 876, 33, 0, 335, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 25, 1473, 7, 0, 1, 99, 137, 2350, 2359, 5, 3, 1, 879, 33, 0, 342, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 14, 1476, 7, 0, 1, 98, 141, 2350, 2359, 5, 3, 1, 1192, 72, 0, 28, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 27, 1521, 9, 0, 1, 127, 196, 2350, 2359, 4, 3, 0, 1015, 68, 0, 162, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 22, 1535, 7, 0, 1, 129, 196, 2350, 2359, 4, 3, 0, 1112, 74, 0, 79, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

"0_0_0_0", 18, 1525, 8, 0, 1, 135, 198, 2350, 2359, 5, 3, 0, 1169, 78, 0, 2, 46, 0, 0, 0, 0, 0 3, 250000, 4, 2. 1e-7. 4, 5000,

