depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,6,16,1598,0.000000016686702299490217,0.0000001806345983488817,0.0000007584427734354027,1167
4,6,32,1357,0.000000016686702299490217,0.0000001806345983488817,0.0000007584427734354027,1135
4,6,64,1394,0.000000016686702299490217,0.0000001806345983488817,0.0000007584427734354027,1125
4,6,128,1400,0.000000016686702299490217,0.0000001806345983488817,0.0000007584427734354027,1131
4,7,16,1517,0.0000000012761168495142224,0.00000001493895643652047,0.00000004286895467535286,1313
4,7,32,1476,0.0000000012761168495142224,0.00000001493895643652047,0.00000004286895467535286,1313
4,7,64,1499,0.0000000012761168495142224,0.00000001493895643652047,0.00000004286895467535286,1304
4,7,128,1507,0.0000000012761168495142224,0.00000001493895643652047,0.00000004286895467535286,1296
4,8,16,1951,0.00000000002776493525828481,0.0000000014979825499069186,0.000000006541376024334807,1571
4,8,32,1810,0.00000000002776493525828481,0.0000000014979825499069186,0.000000006541376024334807,1562
4,8,64,1707,0.00000000002776493525828481,0.0000000014979825499069186,0.000000006541376024334807,1537
4,8,128,1736,0.00000000002776493525828481,0.0000000014979825499069186,0.000000006541376024334807,1542
5,6,16,2002,0.00000007363947317807973,0.00000027384696535735265,0.0000004085263879221838,1538
5,6,32,1537,0.00000007363947317807973,0.00000027384696535735265,0.0000004085263879221838,1525
5,6,64,1548,0.00000007363947317807973,0.00000027384696535735265,0.0000004085263879221838,1690
5,6,128,1650,0.00000007363947317807973,0.00000027384696535735265,0.0000004085263879221838,1779
5,7,16,2749,0.000000020760057606409505,0.0000000313831060299183,0.000000046302488262898814,2104
5,7,32,2370,0.000000020760057606409505,0.0000000313831060299183,0.000000046302488262898814,1975
5,7,64,2440,0.000000020760057606409505,0.0000000313831060299183,0.000000046302488262898814,2005
5,7,128,2362,0.000000020760057606409505,0.0000000313831060299183,0.000000046302488262898814,1932
5,8,16,3995,0.0000000006775990793078764,0.0000000026624143464007455,0.000000004205206987239361,2367
5,8,32,3515,0.0000000006775990793078764,0.0000000026624143464007455,0.000000004205206987239361,2345
5,8,64,3516,0.0000000006775990793078764,0.0000000026624143464007455,0.000000004205206987239361,2385
5,8,128,3850,0.0000000006775990793078764,0.0000000026624143464007455,0.000000004205206987239361,2322
